                                     | Core 0     | Core 1    
  Instructions                       |     220020 |     220072
  Cycles                             |    1414394 |    1414394
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     531727 |     531727
  Idle time (ns)                     |     396271 |     396055
  Idle time (%)                      |      74.5% |      74.5%
Branch predictor stats               |            |           
  num correct                        |      19639 |      19644
  num incorrect                      |        909 |        927
  misprediction rate                 |      4.42% |      4.51%
  mpki                               |       4.13 |       4.21
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18268 |      18258
    num cache misses                 |         24 |         24
    miss rate                        |      0.13% |      0.13%
    mpki                             |       0.11 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |     135507 |     135496
    num cache misses                 |       1555 |       1735
    miss rate                        |      1.15% |      1.28%
    mpki                             |       7.07 |       7.88
  Cache L2                           |            |           
    num cache accesses               |       2355 |       2355
    num cache misses                 |         34 |         14
    miss rate                        |      1.44% |      0.59%
    mpki                             |       0.15 |       0.06
  Cache L3                           |            |           
    num cache accesses               |         36 |         17
    num cache misses                 |         34 |         14
    miss rate                        |     94.44% |     82.35%
    mpki                             |       0.15 |       0.06
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |      95.76 |        inf
  average dram queueing delay        |      42.33 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
