                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1404875 |    1405227 |    1405918 |    1406073 |    1405166 |    1405959 |    1406216 |    1406293
  Cycles                             |   52070628 |   52070628 |   52070628 |   52070628 |   52070628 |   52070628 |   52070628 |   52070628
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   19575424 |   19575424 |   19575424 |   19575424 |   19575424 |   19575424 |   19575424 |   19575424
  Idle time (ns)                     |   18133259 |   18114919 |   18112468 |   18112762 |   18119700 |   18113138 |   18112591 |   18114441
  Idle time (%)                      |      92.6% |      92.5% |      92.5% |      92.5% |      92.6% |      92.5% |      92.5% |      92.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     110354 |     110406 |     110423 |     110436 |     110354 |     110438 |     110413 |     110445
  num incorrect                      |        884 |        886 |        951 |        955 |        915 |        947 |       1008 |        967
  misprediction rate                 |      0.79% |      0.80% |      0.85% |      0.86% |      0.82% |      0.85% |      0.90% |      0.87%
  mpki                               |       0.63 |       0.63 |       0.68 |       0.68 |       0.65 |       0.67 |       0.72 |       0.69
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19990 |      19983 |      20039 |      20049 |      20007 |      20019 |      20054 |      20061
    num cache misses                 |         24 |         25 |         24 |         24 |         25 |         25 |         24 |         25
    miss rate                        |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     951796 |     951897 |     952125 |     952180 |     951883 |     952129 |     952212 |     952241
    num cache misses                 |       3525 |       3576 |       3670 |       3679 |       3518 |       3610 |       3695 |       3678
    miss rate                        |      0.37% |      0.38% |      0.39% |      0.39% |      0.37% |      0.38% |      0.39% |      0.39%
    mpki                             |       2.51 |       2.54 |       2.61 |       2.62 |       2.50 |       2.57 |       2.63 |       2.62
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4356 |       4459 |       4612 |       4620 |       4424 |       4514 |       4638 |       4638
    num cache misses                 |       3549 |       3602 |       3694 |       3703 |       3543 |       3635 |       3719 |       3703
    miss rate                        |     81.47% |     80.78% |     80.10% |     80.15% |     80.09% |     80.53% |     80.19% |     79.84%
    mpki                             |       2.53 |       2.56 |       2.63 |       2.63 |       2.52 |       2.59 |       2.64 |       2.63
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4356 |       4459 |       4612 |       4620 |       4424 |       4514 |       4638 |       4638
    num cache misses                 |       3549 |       3602 |       3694 |       3703 |       3543 |       3635 |       3719 |       3703
    miss rate                        |     81.47% |     80.78% |     80.10% |     80.15% |     80.09% |     80.53% |     80.19% |     79.84%
    mpki                             |       2.53 |       2.56 |       2.63 |       2.63 |       2.52 |       2.59 |       2.64 |       2.63
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        309 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     348.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     295.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          9 |         15 |         13 |         18 |          9 |         14 |         17 |         19
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1661 |       1673 |       1714 |       1716 |       1685 |       1661 |       1724 |       1702
