                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     100273 |     100639 |     100338 |     100183 |     100234 |     100827 |      99951 |     100165
  Cycles                             |    1926853 |    1926853 |    1926853 |    1926853 |    1926853 |    1926853 |    1926853 |    1926853
  IPC                                |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |     724381 |     724381 |     724381 |     724381 |     724381 |     724381 |     724381 |     724381
  Idle time (ns)                     |     643591 |     630938 |     631114 |     637118 |     633472 |     632861 |     639040 |     636287
  Idle time (%)                      |      88.8% |      87.1% |      87.1% |      88.0% |      87.5% |      87.4% |      88.2% |      87.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10903 |      10866 |      10838 |      10817 |      10787 |      10840 |      10883 |      10864
  num incorrect                      |        556 |        635 |        618 |        623 |        637 |        632 |        557 |        570
  misprediction rate                 |      4.85% |      5.52% |      5.39% |      5.45% |      5.58% |      5.51% |      4.87% |      4.99%
  mpki                               |       5.54 |       6.31 |       6.16 |       6.22 |       6.36 |       6.27 |       5.57 |       5.69
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17893 |      17920 |      17909 |      17886 |      17908 |      17968 |      17859 |      17885
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         24 |         25 |         25
    miss rate                        |      0.13% |      0.14% |      0.14% |      0.14% |      0.14% |      0.13% |      0.14% |      0.14%
    mpki                             |       0.24 |       0.25 |       0.25 |       0.25 |       0.25 |       0.24 |       0.25 |       0.25
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      53076 |      53260 |      53150 |      53092 |      53138 |      53377 |      52968 |      53074
    num cache misses                 |       2431 |       2380 |       2351 |       2117 |       2236 |       2298 |       2078 |       2155
    miss rate                        |      4.58% |      4.47% |      4.42% |      3.99% |      4.21% |      4.31% |      3.92% |      4.06%
    mpki                             |      24.24 |      23.65 |      23.43 |      21.13 |      22.31 |      22.79 |      20.79 |      21.51
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3649 |       3541 |       3494 |       3121 |       3338 |       3395 |       3048 |       3193
    num cache misses                 |       2466 |       2410 |       2381 |       2143 |       2263 |       2329 |       2103 |       2183
    miss rate                        |     67.58% |     68.06% |     68.15% |     68.66% |     67.80% |     68.60% |     69.00% |     68.37%
    mpki                             |      24.59 |      23.95 |      23.73 |      21.39 |      22.58 |      23.10 |      21.04 |      21.79
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3649 |       3541 |       3494 |       3121 |       3338 |       3395 |       3048 |       3193
    num cache misses                 |       2466 |       2410 |       2381 |       2143 |       2263 |       2329 |       2103 |       2183
    miss rate                        |     67.58% |     68.06% |     68.15% |     68.66% |     67.80% |     68.60% |     69.00% |     68.37%
    mpki                             |      24.59 |      23.95 |      23.73 |      21.39 |      22.58 |      23.10 |      21.04 |      21.79
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       2641 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      85.71 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      32.28 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        225 |        212 |        262 |        196 |        208 |        204 |        194 |        217
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1234 |       1199 |       1169 |       1060 |       1173 |       1191 |       1070 |       1089
